INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Lacey', 'Arndt', 'Dolores', '773-555-2905', 'lacey.arndt18@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Demarcus', 'Baumann', '', '876-555-1338', 'demarcus.baumann43@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Seth', 'Kelly', 'Dortha', '265-555-2529', 'seth.kelly67@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Marco', 'Johnson', '', '685-555-8500', 'marco.johnson61@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Kelly', 'Cohen', '', '183-555-2669', 'kelly.cohen25@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Zachary', 'Ward', '', '600-555-1035', 'zachary.ward94@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Carol', 'Sparks', 'Charles', '765-555-1551', 'carol.sparks72@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Scott', 'Degennaro', 'Fred', '193-555-1671', 'scott.degennaro9@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Cynthia', 'Floer', '', '920-555-2766', 'cynthia.floer41@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Rita', 'Holmes', '', '290-555-5053', 'rita.holmes56@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('John', 'Holland', 'James', '565-555-1780', 'john.holland48@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Louise', 'George', 'Richard', '934-555-4341', 'louise.george42@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Daniel', 'Lum', 'Kellie', '581-555-8184', 'daniel.lum81@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Kathleen', 'Josephson', '', '758-555-3997', 'kathleen.josephson90@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Marianne', 'Larkin', 'Melissa', '599-555-8115', 'marianne.larkin45@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Michael', 'Sturgis', '', '536-555-1494', 'michael.sturgis66@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Charles', 'Anderson', 'Michael', '584-555-2535', 'charles.anderson40@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Susan', 'Bullard', '', '790-555-4681', 'susan.bullard57@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Heidi', 'Catchings', 'Shanon', '777-555-2090', 'heidi.catchings69@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Mary', 'Jones', '', '846-555-7543', 'mary.jones61@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Sarah', 'Murray', '', '887-555-1515', 'sarah.murray76@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('John', 'Biagioni', 'Christine', '569-555-1046', 'john.biagioni56@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Mark', 'Lowe', 'Lisa', '914-555-9432', 'mark.lowe80@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Deborah', 'Leonetti', '', '914-555-7453', 'deborah.leonetti30@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Santiago', 'Fordham', 'Brett', '430-555-4428', 'santiago.fordham68@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('William', 'Regan', '', '573-555-3313', 'william.regan96@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Brittany', 'Headley', 'James', '550-555-6006', 'brittany.headley92@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Frederick', 'Gallman', '', '514-555-2609', 'frederick.gallman49@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Ronald', 'Callihan', 'William', '600-555-9939', 'ronald.callihan7@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Joanne', 'Laso', 'Rocio', '915-555-7524', 'joanne.laso76@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Ramona', 'Wilson', '', '896-555-1879', 'ramona.wilson11@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Virginia', 'Rollefson', 'Michael', '656-555-8808', 'virginia.rollefson69@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Armida', 'Wilson', 'Gary', '789-555-7944', 'armida.wilson43@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Stephen', 'Travis', '', '113-555-6351', 'stephen.travis52@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Vivian', 'Stafford', '', '400-555-2061', 'vivian.stafford2@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Wade', 'Blackmon', 'Nancy', '340-555-1779', 'wade.blackmon24@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Chester', 'Ramirez', 'Kelle', '373-555-5333', 'chester.ramirez23@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Cynthia', 'Votaw', '', '879-555-9177', 'cynthia.votaw93@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Mark', 'Muller', '', '364-555-7728', 'mark.muller29@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Paul', 'Crowder', 'Annette', '170-555-7713', 'paul.crowder89@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Jack', 'Conroy', '', '326-555-5273', 'jack.conroy27@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Luis', 'Laue', '', '348-555-5814', 'luis.laue93@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Melissa', 'Bice', 'Elizabeth', '132-555-8327', 'melissa.bice8@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Gregory', 'Myers', '', '301-555-7634', 'gregory.myers30@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('John', 'Mills', '', '361-555-6772', 'john.mills40@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Doris', 'Richardson', '', '759-555-9978', 'doris.richardson97@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Francisco', 'Monk', '', '299-555-7656', 'francisco.monk87@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Kelly', 'Sosa', '', '866-555-7478', 'kelly.sosa37@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Mildred', 'Jacobs', '', '859-555-3287', 'mildred.jacobs92@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Alejandro', 'Mcdonald', 'Zane', '833-555-4276', 'alejandro.mcdonald48@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Matthew', 'Gann', '', '280-555-9549', 'matthew.gann45@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Norman', 'Frink', 'Jorge', '674-555-9244', 'norman.frink16@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Heather', 'Pratt', '', '125-555-4804', 'heather.pratt65@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Tiffany', 'Molina', 'Julia', '336-555-1668', 'tiffany.molina26@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Jean', 'Pietrafesa', 'Martha', '206-555-9773', 'jean.pietrafesa88@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Elizabeth', 'Fetner', '', '871-555-2786', 'elizabeth.fetner66@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Joyce', 'Alford', '', '180-555-1376', 'joyce.alford53@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Katie', 'Henderson', 'John', '889-555-7268', 'katie.henderson5@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('John', 'Fitzgerald', 'Daniel', '206-555-2066', 'john.fitzgerald1@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Jerry', 'Haas', '', '213-555-6371', 'jerry.haas60@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Laura', 'Aguilar', 'Ollie', '125-555-7290', 'laura.aguilar43@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Carolyn', 'Cutler', 'Frank', '390-555-9739', 'carolyn.cutler28@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Ron', 'Martin', 'John', '590-555-4754', 'ron.martin72@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Beverly', 'Adcock', 'Gloria', '142-555-2925', 'beverly.adcock65@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Donald', 'Lucas', '', '220-555-5458', 'donald.lucas35@example.com', 'M');
