INSERT INTO Customer (F_name, M_name, L_name, Phn_n, Email, Gender, Address_id) VALUES 
('Mary', 'Margaret', 'Tuggle', '3383679182', 'Mary.Tuggle63@example.com', 'M', 63),
('Casey', 'Sammie', 'Alvarez', '2182886187', 'Casey.Alvarez59@example.com', 'OTHER', 64),
('Christopher', 'Mary', 'Wheeler', '0615075698', 'Christopher.Wheeler9@example.com', 'F', 65),
('Kelly', 'George', 'Garretson', '4867694055', 'Kelly.Garretson12@example.com', 'M', 66),
('Melissa', 'Sandra', 'Bernier', '8410143479', 'Melissa.Bernier54@example.com', 'F', 67),
('Amber', 'Margie', 'Compton', '3303363548', 'Amber.Compton8@example.com', 'F', 68),
('Kristi', 'Paul', 'Jones', '4600198226', 'Kristi.Jones31@example.com', 'M', 69),
('Susan', 'Sharon', 'Cotman', '8004712003', 'Susan.Cotman6@example.com', 'F', 70),
('William', 'Robert', 'Muros', '0453232023', 'William.Muros42@example.com', 'M', 71),
('Joseph', 'Lawrence', 'Ramos', '0180314790', 'Joseph.Ramos75@example.com', 'F', 72),
('Olga', 'Beth', 'Walker', '4926280163', 'Olga.Walker66@example.com', 'F', 73),
('Stephen', 'Jane', 'Naquin', '9605560710', 'Stephen.Naquin67@example.com', 'OTHER', 74),
('Sybil', 'Kori', 'Senz', '2932077957', 'Sybil.Senz51@example.com', 'F', 75),
('Randy', 'Lee', 'Bragg', '2999769047', 'Randy.Bragg48@example.com', 'F', 76),
('Catherine', 'Margaret', 'Belcher', '5134330887', 'Catherine.Belcher55@example.com', 'F', 77),
('Susan', 'Scott', 'Robinson', '7406855848', 'Susan.Robinson67@example.com', 'OTHER', 78),
('Harry', 'James', 'Bennett', '6326916404', 'Harry.Bennett13@example.com', 'OTHER', 79),
('Victor', 'Richard', 'Campbell', '8149812566', 'Victor.Campbell38@example.com', 'M', 80),
('Patrick', 'Rana', 'Smith', '5672881119', 'Patrick.Smith86@example.com', 'M', 81),
('Walter', 'Irma', 'Bautista', '4491852161', 'Walter.Bautista98@example.com', 'OTHER', 82),
('Donald', 'James', 'Bratton', '7977237048', 'Donald.Bratton90@example.com', 'OTHER', 83),
('Margie', 'Michael', 'Anderson', '5062706812', 'Margie.Anderson39@example.com', 'F', 84),
('Vivian', 'John', 'Thomas', '3914476023', 'Vivian.Thomas74@example.com', 'F', 85),
('James', 'Rowena', 'Sale', '8331333995', 'James.Sale11@example.com', 'F', 86),
('William', 'Andres', 'Stucky', '2969820142', 'William.Stucky65@example.com', 'M', 87),
('Robert', 'Paul', 'Mueller', '8868955144', 'Robert.Mueller40@example.com', 'OTHER', 88),
('David', 'Stella', 'Hogue', '9746274264', 'David.Hogue59@example.com', 'OTHER', 89),
('Lonnie', 'Wesley', 'Munoz', '1850767542', 'Lonnie.Munoz32@example.com', 'F', 90),
('Len', 'Thomas', 'Templeton', '0210383729', 'Len.Templeton54@example.com', 'OTHER', 91),
('Helen', 'Francisco', 'Walsh', '4652066363', 'Helen.Walsh68@example.com', 'F', 92),
('James', 'Dale', 'Cole', '1103530154', 'James.Cole22@example.com', 'M', 93),
('Esther', 'Jose', 'Nguyen', '5697834467', 'Esther.Nguyen72@example.com', 'OTHER', 94),
('Anthony', 'Lauren', 'Paz', '0933586747', 'Anthony.Paz13@example.com', 'M', 95),
('Avis', 'Lisa', 'Garza', '6228055515', 'Avis.Garza85@example.com', 'M', 96),
('Margaret', 'John', 'Lent', '1085846140', 'Margaret.Lent52@example.com', 'F', 97),
('William', 'Maria', 'Womble', '3583581411', 'William.Womble29@example.com', 'M', 98),
('Kathleen', 'Jonnie', 'Williams', '5413135538', 'Kathleen.Williams59@example.com', 'M', 99),
('Janis', 'Dustin', 'Williams', '4573062070', 'Janis.Williams25@example.com', 'M', 100);
